;ID;position.x;position.y;position.z;total_volume;cell_type;cycle_model;current_phase;elapsed_time_in_phase;nuclear_volume;cytoplasmic_volume;fluid_fraction;calcified_fraction;orientation.x;orientation.y;orientation.z;polarity;migration_speed;motility_vector.x;motility_vector.y;motility_vector.z;migration_bias;motility_bias_direction.x;motility_bias_direction.y;motility_bias_direction.z;persistence_time;motility_reserved;Oxygen;HIF;LDH;PDK;PDH;Diff_coeff;distance;simulation_time
5738;5737;133.738895266717;-38.6016833536043;68.2488780186993;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528151183956831;3.58281930887456;3.39126646473932;6.23542869664763;0.142167657600858;51058.5389947678;155.029324373504;6
5739;5738;125.149547627586;-33.4842202903165;-95.2191374539953;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528153960856844;3.58281760737243;3.39126628934223;6.23542823718888;0.142167657914216;63389.5318277466;160.780242621171;6
5740;5739;133.439019226665;-28.6598381047362;-81.7282035562798;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528153960856844;3.58281760737243;3.39126628934223;6.23542823718888;0.142167657914216;63389.5318277466;159.081291888457;6
5741;5740;125.687945337362;-33.8440158844184;-68.5573168599307;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528151212915203;3.58281931809279;3.3912664708051;6.2354287125431;0.142167657587896;48160.2051276014;147.115542038717;6
5742;5741;133.833428874005;-28.8034055700457;-54.7198470581969;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148931877436;3.58282073653532;3.39126662096441;6.23542910589515;0.142167657318034;42086.2770234659;147.428913441965;6
5743;5742;125.949389397382;-33.8995738704725;-41.1639516097854;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148931877436;3.58282073653532;3.39126662096441;6.23542910589515;0.142167657318034;42086.2770234659;136.773172480226;6
5744;5743;134.265530609403;-29.1550169462195;-27.428620339376;2494;0;9999;3;23.9777777777713;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.052814743112823;3.58282166581459;3.39126671844114;6.23542936123965;0.14216765714317;38347.5962939281;140.105592096392;6
5745;5744;126.122442444867;-33.9628778969292;-13.7416413468656;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528146616305226;3.58282216137737;3.39126676912656;6.23542949401209;0.142167657052633;36382.6313085386;131.336134670571;6
5746;5745;134.350843836223;-29.1471198632721;-0.134597727524121;2494;0;9999;1;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528146616305226;3.58282216135391;3.39126676847498;6.23542949229927;0.142167657054635;36382.6313085386;137.47625959553;6
5747;5746;125.726078623708;-24.2260914949442;13.6459212260009;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528146551584302;3.582822187638;3.39126676715269;6.23542948883628;0.142167657058476;36733.0456838673;128.763976023275;6
5748;5747;134.272358377084;-29.0557634923523;27.5710574109481;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528147393609174;3.58282165918301;3.39126671016131;6.23542933954243;0.142167657161406;40159.4981971516;140.119473389767;6
5749;5748;142.434288398068;-24.0236350262722;40.8984202416036;2494;0;9999;2;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528153275236616;3.5828180104712;3.39126632677873;6.23542833524588;0.14216765784969;68349.8968984084;150.124422828527;6
5750;5749;134.063755928436;-29.0129639750416;54.800663489136;2494;0;9999;3;53.9555555555516;540;1954;0.75;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0.0528148904515285;3.5828207222552;3.39126661246511;6.23542908362365;0.142167657336187;44985.8549652204;147.709022917037;6
